Current Player,Current Panel,Current Task,Current Left Controller State,Current Right Controller State,Current Time,Current Value,Current Input
3,0,1,not tracked,is tracked,25.87939,0,Right Trigger
3,0,1,not tracked,is tracked,25.88438,0,Right Trigger
3,0,1,not tracked,is tracked,25.89009,0,Right Trigger
3,0,1,not tracked,is tracked,25.89517,0,Right Trigger
3,0,1,not tracked,is tracked,25.90014,0,Right Trigger
3,0,1,not tracked,is tracked,25.90496,0,Right Trigger
3,0,1,not tracked,is tracked,25.91067,0,Right Trigger
3,0,1,not tracked,is tracked,25.91576,0,Right Trigger
3,0,1,not tracked,is tracked,25.92077,0,Right Trigger
3,0,1,not tracked,is tracked,25.92558,0,Right Trigger
3,0,1,not tracked,is tracked,25.93129,0,Right Trigger
3,0,1,not tracked,is tracked,25.93638,0,Right Trigger
3,0,1,not tracked,is tracked,25.94145,0,Right Trigger
3,0,1,not tracked,is tracked,25.94651,0,Right Trigger
3,0,1,not tracked,is tracked,25.95204,0,Right Trigger
3,0,1,not tracked,is tracked,25.95703,0,Right Trigger
3,0,1,not tracked,is tracked,25.96193,0,Right Trigger
3,0,1,not tracked,is tracked,25.96722,0,Right Trigger
3,0,1,not tracked,is tracked,25.97252,0,Right Trigger
3,0,1,not tracked,is tracked,25.97755,0,Right Trigger
3,0,1,not tracked,is tracked,25.98235,0,Right Trigger
3,0,1,not tracked,is tracked,25.98756,0,Right Trigger
3,0,1,not tracked,is tracked,25.99331,0,Right Trigger
3,0,1,not tracked,is tracked,25.9987,0,Right Trigger
3,0,1,not tracked,is tracked,26.00375,0,Right Trigger
3,0,1,not tracked,is tracked,26.00927,0,Right Trigger
3,0,1,not tracked,is tracked,26.01782,0,Right Trigger
3,0,1,not tracked,is tracked,26.02308,0,Right Trigger
3,0,1,not tracked,is tracked,26.02926,0,Right Trigger
3,0,1,not tracked,is tracked,26.03448,0,Right Trigger
3,0,1,not tracked,is tracked,26.04015,0,Right Trigger
3,0,1,not tracked,is tracked,26.04524,0,Right Trigger
3,0,1,not tracked,is tracked,26.05105,0,Right Trigger
3,0,1,not tracked,is tracked,26.05641,0,Right Trigger
3,0,1,not tracked,is tracked,26.06179,0,Right Trigger
3,0,1,not tracked,is tracked,26.06738,0,Right Trigger
3,0,1,not tracked,is tracked,26.07228,0,Right Trigger
3,0,1,not tracked,is tracked,26.07763,0,Right Trigger
3,0,1,not tracked,is tracked,26.08263,0,Right Trigger
3,0,1,not tracked,is tracked,26.08786,0,Right Trigger
3,0,1,not tracked,is tracked,26.09314,0,Right Trigger
3,0,1,not tracked,is tracked,26.09829,0,Right Trigger
3,0,1,not tracked,is tracked,26.10337,0,Right Trigger
3,0,1,not tracked,is tracked,26.10996,0,Right Trigger
3,0,1,not tracked,is tracked,26.11522,0,Right Trigger
3,0,1,not tracked,is tracked,26.12009,0,Right Trigger
3,0,1,not tracked,is tracked,26.1252,0,Right Trigger
3,0,1,not tracked,is tracked,26.13072,0,Right Trigger
3,0,1,not tracked,is tracked,26.13554,0,Right Trigger
3,0,1,not tracked,is tracked,26.14054,0,Right Trigger
3,0,1,not tracked,is tracked,26.14646,0,Right Trigger
3,0,1,not tracked,is tracked,26.15212,0,Right Trigger
3,0,1,not tracked,is tracked,26.15708,0,Right Trigger
3,0,1,not tracked,is tracked,26.16231,0,Right Trigger
3,0,1,not tracked,is tracked,26.16771,0,Right Trigger
3,0,1,not tracked,is tracked,26.17266,0,Right Trigger
3,0,1,not tracked,is tracked,26.17753,0,Right Trigger
3,0,1,not tracked,is tracked,26.18279,0,Right Trigger
3,0,1,not tracked,is tracked,26.18842,0,Right Trigger
3,0,1,not tracked,is tracked,26.1933,0,Right Trigger
3,0,1,not tracked,is tracked,26.19845,0,Right Trigger
3,0,1,not tracked,is tracked,26.20372,0,Right Trigger
3,0,1,not tracked,is tracked,26.20926,0,Right Trigger
3,0,1,not tracked,is tracked,26.21521,0,Right Trigger
3,0,1,not tracked,is tracked,26.22029,0,Right Trigger
3,0,1,not tracked,is tracked,26.22535,0,Right Trigger
3,0,1,not tracked,is tracked,26.23158,0,Right Trigger
3,0,1,not tracked,is tracked,26.23679,0,Right Trigger
3,0,1,not tracked,is tracked,26.24211,0,Right Trigger
3,0,1,not tracked,is tracked,26.24814,0,Right Trigger
3,0,1,not tracked,is tracked,26.2532,0,Right Trigger
3,0,1,not tracked,is tracked,26.2582,0,Right Trigger
3,0,1,not tracked,is tracked,26.26347,0,Right Trigger
3,0,1,not tracked,is tracked,26.26925,0,Right Trigger
3,0,1,not tracked,is tracked,26.27421,0,Right Trigger
3,0,1,not tracked,is tracked,26.27956,0,Right Trigger
3,0,1,not tracked,is tracked,26.28536,0,Right Trigger
3,0,1,not tracked,is tracked,26.29112,0,Right Trigger
3,0,1,not tracked,is tracked,26.29749,0,Right Trigger
3,0,1,not tracked,is tracked,26.30359,0,Right Trigger
3,0,1,not tracked,is tracked,26.30987,0,Right Trigger
3,0,1,not tracked,is tracked,26.31552,0,Right Trigger
3,0,1,not tracked,is tracked,26.32122,0,Right Trigger
3,0,1,not tracked,is tracked,26.32707,0,Right Trigger
3,0,1,not tracked,is tracked,26.33321,0,Right Trigger
3,0,1,not tracked,is tracked,26.33923,0,Right Trigger
3,0,1,not tracked,is tracked,26.34493,0,Right Trigger
3,0,1,not tracked,is tracked,26.35111,0,Right Trigger
3,0,1,not tracked,is tracked,26.35643,0,Right Trigger
3,0,1,not tracked,is tracked,26.36156,0,Right Trigger
3,0,1,not tracked,is tracked,26.36654,0,Right Trigger
3,0,1,not tracked,is tracked,26.3723,0,Right Trigger
3,0,1,not tracked,is tracked,26.37744,0,Right Trigger
3,0,1,not tracked,is tracked,26.3824,0,Right Trigger
3,0,1,not tracked,is tracked,26.38763,0,Right Trigger
3,0,1,not tracked,is tracked,26.39269,0,Right Trigger
3,0,1,not tracked,is tracked,26.39789,0,Right Trigger
3,0,1,not tracked,is tracked,26.40284,0,Right Trigger
3,0,1,not tracked,is tracked,26.40846,0,Right Trigger
3,0,1,not tracked,is tracked,26.41361,0,Right Trigger
3,0,1,not tracked,is tracked,26.41872,0,Right Trigger
3,0,1,not tracked,is tracked,26.4237,0,Right Trigger
3,0,1,not tracked,is tracked,26.42942,0,Right Trigger
3,0,1,not tracked,is tracked,26.43443,0,Right Trigger
3,0,1,not tracked,is tracked,26.43944,0,Right Trigger
3,0,1,not tracked,is tracked,26.44445,0,Right Trigger
3,0,1,not tracked,is tracked,26.45086,0,Right Trigger
3,0,1,not tracked,is tracked,26.45597,0,Right Trigger
3,0,1,not tracked,is tracked,26.46099,0,Right Trigger
3,0,1,not tracked,is tracked,26.46621,0,Right Trigger
3,0,1,not tracked,is tracked,26.4717,0,Right Trigger
3,0,1,not tracked,is tracked,26.47657,0,Right Trigger
3,0,1,not tracked,is tracked,26.4815,0,Right Trigger
3,0,1,not tracked,is tracked,26.48664,0,Right Trigger
3,0,1,not tracked,is tracked,26.49232,0,Right Trigger
3,0,1,not tracked,is tracked,26.49738,0,Right Trigger
3,0,1,not tracked,is tracked,26.50262,0,Right Trigger
3,0,1,not tracked,is tracked,26.50809,0,Right Trigger
3,0,1,not tracked,is tracked,26.51309,0,Right Trigger
3,0,1,not tracked,is tracked,26.51824,0,Right Trigger
3,0,1,not tracked,is tracked,26.52418,0,Right Trigger
3,0,1,not tracked,is tracked,26.53003,0,Right Trigger
3,0,1,not tracked,is tracked,26.53529,0,Right Trigger
3,0,1,not tracked,is tracked,26.54051,0,Right Trigger
3,0,1,not tracked,is tracked,26.54553,0,Right Trigger
3,0,1,not tracked,is tracked,26.55092,0,Right Trigger
3,0,1,not tracked,is tracked,26.55614,0,Right Trigger
3,0,1,not tracked,is tracked,26.56143,0,Right Trigger
3,0,1,not tracked,is tracked,26.56632,0,Right Trigger
3,0,1,not tracked,is tracked,26.57156,0,Right Trigger
3,0,1,not tracked,is tracked,26.57667,0,Right Trigger
3,0,1,not tracked,is tracked,26.58179,0,Right Trigger
3,0,1,not tracked,is tracked,26.58724,0,Right Trigger
3,0,1,not tracked,is tracked,26.59254,0,Right Trigger
3,0,1,not tracked,is tracked,26.59767,0,Right Trigger
3,0,1,not tracked,is tracked,26.60331,0,Right Trigger
3,0,1,not tracked,is tracked,26.6089,0,Right Trigger
3,0,1,not tracked,is tracked,26.614,0,Right Trigger
3,0,1,not tracked,is tracked,26.61905,0,Right Trigger
3,0,1,not tracked,is tracked,26.62413,0,Right Trigger
3,0,1,not tracked,is tracked,26.62993,0,Right Trigger
3,0,1,not tracked,is tracked,26.63482,0,Right Trigger
3,0,1,not tracked,is tracked,26.64008,0,Right Trigger
3,0,1,not tracked,is tracked,26.64531,0,Right Trigger
3,0,1,not tracked,is tracked,26.65078,0,Right Trigger
3,0,1,not tracked,is tracked,26.656,0,Right Trigger
3,0,1,not tracked,is tracked,26.6614,0,Right Trigger
3,0,1,not tracked,is tracked,26.66635,0,Right Trigger
3,0,1,not tracked,is tracked,26.67176,0,Right Trigger
3,0,1,not tracked,is tracked,26.67698,0,Right Trigger
3,0,1,not tracked,is tracked,26.68205,0,Right Trigger
3,0,1,not tracked,is tracked,26.68758,0,Right Trigger
3,0,1,not tracked,is tracked,26.69286,0,Right Trigger
3,0,1,not tracked,is tracked,26.69792,0,Right Trigger
3,0,1,not tracked,is tracked,26.70295,0,Right Trigger
3,0,1,not tracked,is tracked,26.70969,0,Right Trigger
3,0,1,not tracked,is tracked,26.715,0,Right Trigger
3,0,1,not tracked,is tracked,26.71993,0,Right Trigger
3,0,1,not tracked,is tracked,26.72526,0,Right Trigger
3,0,1,not tracked,is tracked,26.73102,0,Right Trigger
3,0,1,not tracked,is tracked,26.73604,0,Right Trigger
3,0,1,not tracked,is tracked,26.74151,0,Right Trigger
3,0,1,not tracked,is tracked,26.74681,0,Right Trigger
3,0,1,not tracked,is tracked,26.75205,0,Right Trigger
3,0,1,not tracked,is tracked,26.75773,0,Right Trigger
